artist_id,artist_genres
6DPYiyq5kWVQS4RGwxzPC7,rap
6DPYiyq5kWVQS4RGwxzPC7,west coast rap
16eRpMNXSQ15wuJoeqguaB,alternative rock
16eRpMNXSQ15wuJoeqguaB,chamber pop
16eRpMNXSQ15wuJoeqguaB,indie rock
16eRpMNXSQ15wuJoeqguaB,indietronica
16eRpMNXSQ15wuJoeqguaB,noise pop
16eRpMNXSQ15wuJoeqguaB,okc indie
16eRpMNXSQ15wuJoeqguaB,singer-songwriter
1ZwdS5xdxEREPySFridCfh,g funk
1ZwdS5xdxEREPySFridCfh,gangster rap
1ZwdS5xdxEREPySFridCfh,hip hop
1ZwdS5xdxEREPySFridCfh,rap
1ZwdS5xdxEREPySFridCfh,west coast rap
23i8EixXKG0EWGRCfHlUGN,bebop
23i8EixXKG0EWGRCfHlUGN,contemporary post-bop
23i8EixXKG0EWGRCfHlUGN,hard bop
23i8EixXKG0EWGRCfHlUGN,jazz
23i8EixXKG0EWGRCfHlUGN,jazz vibraphone
23i8EixXKG0EWGRCfHlUGN,soul jazz
4HCubdy7diarb4KZo8etrq,australian alternative rock
4HCubdy7diarb4KZo8etrq,australian rock
4HCubdy7diarb4KZo8etrq,c86
4HCubdy7diarb4KZo8etrq,dunedin sound
4HCubdy7diarb4KZo8etrq,uk post-punk
3inCNiUr4R6XQ3W43s9Aqi,alternative rock
3inCNiUr4R6XQ3W43s9Aqi,chamber pop
3inCNiUr4R6XQ3W43s9Aqi,indie rock
3inCNiUr4R6XQ3W43s9Aqi,lo-fi
3inCNiUr4R6XQ3W43s9Aqi,shoegaze
1HJHwWck1EY096ea2iPAHO,bebop
1HJHwWck1EY096ea2iPAHO,hard bop
1HJHwWck1EY096ea2iPAHO,jazz
1HJHwWck1EY096ea2iPAHO,jazz trumpet
4w3QqrcmBv8dasemwBXmxf,melancholia
4w3QqrcmBv8dasemwBXmxf,new romantic
4w3QqrcmBv8dasemwBXmxf,new wave pop
4w3QqrcmBv8dasemwBXmxf,sophisti-pop
389zc5Rwe0MPcE6mSF4AjC,reggae
389zc5Rwe0MPcE6mSF4AjC,roots reggae
6c8INA1EQQe9TkukfEdiCA,power pop
6c8INA1EQQe9TkukfEdiCA,pub rock
6iygtKnPG7TRvDaTYcLOd6,doo-wop
048FBwXjFYBWxSggPDipic,british indie rock
048FBwXjFYBWxSggPDipic,britpop
048FBwXjFYBWxSggPDipic,modern rock
048FBwXjFYBWxSggPDipic,newcastle indie
048FBwXjFYBWxSggPDipic,scottish rock
4wLIbcoqmqI4WZHDiBxeCB,alternative rock
4wLIbcoqmqI4WZHDiBxeCB,indie rock
4wLIbcoqmqI4WZHDiBxeCB,noise pop
4wLIbcoqmqI4WZHDiBxeCB,olympia wa indie
4wLIbcoqmqI4WZHDiBxeCB,riot grrrl
1DTgcOxytJHD8p17mhSgd7,blues
1DTgcOxytJHD8p17mhSgd7,jump blues
1DTgcOxytJHD8p17mhSgd7,rhythm and blues
1DTgcOxytJHD8p17mhSgd7,traditional blues
3LzQVHowQWbzJBwBBNRPfY,accordion
3LzQVHowQWbzJBwBBNRPfY,zydeco
7oPgCQqMMXEXrNau5vxYZP,folk
7oPgCQqMMXEXrNau5vxYZP,lilith
7oPgCQqMMXEXrNau5vxYZP,singer-songwriter
7oPgCQqMMXEXrNau5vxYZP,women's music
0z6zRFzl5njXWLVAisXQBz,alternative rock
0z6zRFzl5njXWLVAisXQBz,experimental rock
0z6zRFzl5njXWLVAisXQBz,hardcore punk
0z6zRFzl5njXWLVAisXQBz,no wave
0z6zRFzl5njXWLVAisXQBz,post-hardcore
0z6zRFzl5njXWLVAisXQBz,post-punk
0z6zRFzl5njXWLVAisXQBz,punk
3CYSRCHfilgR8DSbkCMp5j,alternative country
3CYSRCHfilgR8DSbkCMp5j,classic canadian rock
3CYSRCHfilgR8DSbkCMp5j,ectofolk
3CYSRCHfilgR8DSbkCMp5j,folk
3CYSRCHfilgR8DSbkCMp5j,lilith
3CYSRCHfilgR8DSbkCMp5j,melancholia
3CYSRCHfilgR8DSbkCMp5j,toronto indie
6FfTOJJ5iO4tRG80MG5Ovj,german electronica
6FfTOJJ5iO4tRG80MG5Ovj,intelligent dance music
6FfTOJJ5iO4tRG80MG5Ovj,microhouse
6FfTOJJ5iO4tRG80MG5Ovj,minimal tech house
6FfTOJJ5iO4tRG80MG5Ovj,minimal techno
5EtBXjUUyPJmiljpRdN6RJ,britpop
392WuM1Yb4QRI0GG4epyn5,proto-hyperpop
4EnEZVjo3w1cwcQYePccay,conscious hip hop
