artist_id,artist_name,artist_popularity,artist_followers
5cbutZUQE7SUCA6MsEMbBv,Hank Mobley,45,86990
2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,69,2628650
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,75,11169962
3jVMgT4X7YeuYE4aludcmE,Phil Spector,20,27397
4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,68,3372276
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,63,1626771
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,68,2126779
1dfeR4HaWDbWqFHLkxsg1d,Queen,81,48735066
2wrhBKGC3DTNNNDRJPaxW6,Sebadoh,38,109354
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,71,7576616
artist_id,artist_name,artist_popularity,artist_followers
5nPOO9iTcrs9k6yFffPxjH,Röyksopp,57,878856
5KQMtyPE8DCQNUzoNqlEsE,Gary Numan,47,439355
4wLAjfeqAsV66AocWNcowA,Buju Banton,54,571312
2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,63,1657768
1B8AXU6gIIafpyLEpbcv1u,Edwin Starr,46,156886
5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,60,1531842
218kRJZ7FJs0hWIk8Ynzhz,Charlie Rich,47,214073
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,24970183
545idYhdloaSlLGBY8E9u2,Cameo,49,629374
0q9kpdDkEA3H17gcRMjgVS,Elmore James,41,188438
2P3cjUru4H3fhSXXNxE9kA,Blackstreet,60,753713
4k1ELeJKT1ISyDv8JivPpB,The Prodigy,61,2348715
6RqyNFZlXUHKZHEoAws5Jd,The Disposable Heroes Of Hiphoprisy,15,11146
1ZikppG9dPedbIgMfnfx8k,Ike & Tina Turner,49,303453
2lolQgalUvZDfp5vvVtTYV,Tony Bennett,61,875216
1xgFexIwrf2QjbU0buCNnp,The Breeders,51,428574
2DoQBgPsB9AdmWpIa2hUSz,Fennesz,34,60227
1bBZcz4jP7CoPlqpCFh4gz,Johnny Horton,45,205378
5yXAFDZNUNyO92l5WTImkO,Billy Bragg,49,162660
0TImkz4nPqjegtVSMZnMRq,TLC,66,3764510
05sIdEkXAYDbDDdv3T56Oj,The Chiffons,45,119537
23zg3TcAtWQy7J6upgbUnj,USHER,77,10794317
4596e2d3KmYzAeVenjCxfj,Free Nationals,59,265741
6mcrZQmgzFGRWf7C0SObou,Frankie Valli & The Four Seasons,60,605795
4BFMTELQyWJU1SwqcXMBm3,The Stooges,48,593158
4uN3DsfENc7dp0OLO0FEIb,Sugar Ray,56,934064
040Bv6cZTRh30LyyYVXgJX,Gene Clark,33,52809
2kTn692duPSkqN6czSilyk,The Triffids,27,20855
5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,59,2383571
