4IwOItqRhsIoRuD5HP4vyC,Slint,38,180916,"['alternative rock', 'dream pop', 'experimental rock', 'louisville underground', 'math rock', 'noise pop', 'post-hardcore', 'post-punk', 'post-rock', 'shoegaze', 'slowcore']"
2QwJQuBekTA4qF7N7uLHDP,Veruca Salt,43,253897,"['alternative pop', 'alternative rock', 'grunge', 'lilith', 'riot grrrl']"
5CG9X521RDFWCuAhlo6QoR,Fela Kuti,45,527660,"['afrobeat', 'afropop', 'world']"
0Ty63ceoRnnJKVEYP0VQpk,Sting,68,3116465,"['permanent wave', 'soft rock', 'sophisti-pop']"
