4NulPUAJ3mgNc7A0yohd2z,album,...Nothing Like The Sun (Expanded Edition),31,2022-10-13,26,A&M,0Ty63ceoRnnJKVEYP0VQpk
3ZCIcCsU3wAG2o8p8WfNjk,album,The Bridge (Super Deluxe),38,2022-06-17,20,A&M,0Ty63ceoRnnJKVEYP0VQpk
4oaMXmsIVvSa6EMFry9cjz,album,The Bridge (Deluxe),45,2021-11-19,13,A&M Records,0Ty63ceoRnnJKVEYP0VQpk
7gJ2XxMfFiFVpv9dzyixgE,album,The Soul Cages (Expanded Edition),33,2021-01-15,22,A&M,0Ty63ceoRnnJKVEYP0VQpk
2u7k8AG9v2bpsndoope2Zz,album,My Songs (Live),35,2019-11-08,11,A&M,0Ty63ceoRnnJKVEYP0VQpk
2ApWqsjfhuwyjooHr9YRyl,album,My Songs (Deluxe),48,2019-05-24,19,A&M/Interscope Records,0Ty63ceoRnnJKVEYP0VQpk
1CoVw7saic0ozYSDTeQ26l,album,44/876 (Deluxe),55,2018-04-20,16,A&M,0Ty63ceoRnnJKVEYP0VQpk
2mcQg5lM1KfhVZCte8PkhD,album,57TH & 9TH (Deluxe),35,2016-11-11,13,A&M,0Ty63ceoRnnJKVEYP0VQpk
2nnAcZyupXj6rjsO64i57S,album,The Last Ship (Super Deluxe),25,2013-01-01,20,A&M,0Ty63ceoRnnJKVEYP0VQpk
2aMkKzCvsavPM8bLNFM844,album,The Last Ship (Deluxe),44,2013-01-01,17,A&M,0Ty63ceoRnnJKVEYP0VQpk
5KSKxWGQt6CB4gi7N8S14i,album,The Last Ship,24,2013-01-01,12,A&M,0Ty63ceoRnnJKVEYP0VQpk
1dpyonY9ev2z5a7rwfERZh,album,Symphonicities,42,2010-01-01,12,Sting - Classical Hits Album,0Ty63ceoRnnJKVEYP0VQpk
6adPwMLvUlBuL6WfExnCUu,album,Live In Berlin,42,2010-01-01,14,Sting - Classical Hits Album,0Ty63ceoRnnJKVEYP0VQpk
7MxmChS59adhrJZoqhAAB8,album,Prokofiev: Peter and the Wolf,16,2009-01-01,10,Deutsche Grammophon (DG),4kHtgiRnpmFIV5Tm4BIs8l
1Q9bwZdkYAZvbvUhiexCEh,album,If On A Winter's Night,36,2009-01-01,15,Sting - Winter Album,0Ty63ceoRnnJKVEYP0VQpk
2ANP4qmbgyC1NTkVvLFgWI,album,Welcome to the Voice,7,2007-01-01,15,Deutsche Grammophon (DG),2b99MsfdhmMze4rADKlONq
0gtKu9KQ5TmsatyjgTlBlH,album,Songs From The Labyrinth,21,2006-01-01,23,Deutsche Grammophon (DG),0Ty63ceoRnnJKVEYP0VQpk
123z3rtCrK45bWU72Q6huc,album,Songs From The Labyrinth - Tour Edition,25,2006,26,Deutsche Grammophon (DG),0Ty63ceoRnnJKVEYP0VQpk
2Pv81V3LlCRNFGk4fQOlX6,album,Sacred Love,37,2003-01-01,13,Polydor Associated Labels,0Ty63ceoRnnJKVEYP0VQpk
5B0QfZIc43HfWtsOUMf7Xj,album,Still Be Love In The World,23,2001-01-01,7,A&M,0Ty63ceoRnnJKVEYP0VQpk
0YaLFTcZBQQvA074FEziBC,album,...All This Time,40,2001-01-01,16,A&M,0Ty63ceoRnnJKVEYP0VQpk
2lKs5704qlvP9V9muKZwqY,album,Brand New Day,55,1999-01-01,10,A&M,0Ty63ceoRnnJKVEYP0VQpk
1Z4RIxVodiz0V9x8veQ9Rr,album,Mercury Falling,48,1996-03-12,11,A&M,0Ty63ceoRnnJKVEYP0VQpk
0NA9u4UD9JprFC5OjG9cRV,album,The Living Sea,31,1995-01-01,13,A&M,0Ty63ceoRnnJKVEYP0VQpk
5kV0KBXfELibs6qQJLmOtg,album,Ten Summoner's Tales,69,1993-03-09,12,A&M,0Ty63ceoRnnJKVEYP0VQpk
5bdLY9rbyqZduRw5ySy0eX,album,The Soul Cages,50,1991,9,A&M,0Ty63ceoRnnJKVEYP0VQpk
2Z9WmnUhN1lmSbetmXVCYt,album,Prokofiev: Peter and the Wolf; Classical Symphony Op.25; March Op.99; Overture Op.34,26,1990-01-01,16,Deutsche Grammophon (DG),4kHtgiRnpmFIV5Tm4BIs8l
3mVCQqgwEvwD7lHy9KHi7R,album,...Nothing Like The Sun,65,1987-01-01,12,A&M,0Ty63ceoRnnJKVEYP0VQpk
